년도	월	약효분류코드	약효분류명	수량	사용금액
2018	1	111	전신마취제	1,039	3,822
2018	1	112	최면진정제	20,152	3,029
2018	1	113	항전간제	63,893	17,668
2018	1	114	해열·진통·소염제	490,637	70,983
2018	1	115	각성제,흥분제	1,912	1,551
2018	1	116	진훈제	2,388	84
2018	1	117	정신신경용제	195,828	40,634
2018	1	119	기타의 중추신경용약	119,129	71,845
2018	1	121	국소마취제	3,708	2,102
2018	1	122	골격근이완제	48,173	6,879
2018	1	123	자율신경제	19,115	2,662
2018	1	124	진경제	34,128	4,332
2018	1	129	기타의 말초신경용약	0	0
2018	1	131	안과용제	60,747	44,527
2018	1	132	이비과용제	1,144	5,160
2018	1	141	항히스타민제	252,088	15,217
2018	1	142	자격요법제(비특이성면역원제제를 포함)	12,501	30,402
2018	1	149	기타의 알레르기용약	46,579	17,739
2018	1	211	강심제	13,792	1,339
2018	1	212	부정맥용제	21,734	2,310
2018	1	213	이뇨제	28,989	1,584
2018	1	214	혈압강하제	274,117	145,313
2018	1	215	혈관보강제	4,548	907
2018	1	216	혈관수축제	649	84
2018	1	217	혈관확장제	60,569	10,997
2018	1	218	동맥경화용제	213,174	146,158
2018	1	219	기타의 순환계용약	180,086	53,013
2018	1	220	호흡기관용약	68	2,327
2018	1	221	호흡촉진제	117	317
2018	1	222	진해거담제	623,050	52,839
2018	1	223	함소흡입제	665,982	5,216
2018	1	229	기타의 호흡기관용약	63,106	10,232
2018	1	231	치과구강용약	972	977
2018	1	232	소화성궤양용제	387,960	97,692
2018	1	233	건위소화제	102	2
2018	1	234	제산제	96,284	3,909
2018	1	235	최토제,진토제	10,658	6,081
2018	1	236	이담제	13,583	2,755
2018	1	237	정장제	36,122	3,748
2018	1	238	하제,완장제	2,533	477
2018	1	239	기타의 소화기관용약	236,886	26,594
2018	1	241	뇌하수체호르몬제	2,458	5,769
2018	1	243	갑상선,부갑상선호르몬제	37,054	2,824
2018	1	244	단백동화스테로이드제	3	1
2018	1	245	부신호르몬제	51,699	5,188
2018	1	246	남성호르몬제	199	92
2018	1	247	난포호르몬 및 황체호르몬제	9,287	4,606
2018	1	249	기타의 호르몬제(항호르몬제를 포함)	735	14,978
2018	1	252	자궁수축제	236	106
2018	1	255	비뇨생식기관용제(성병예방제 포함)	4,043	1,428
2018	1	256	치질용제	39	108
2018	1	259	기타의 비뇨생식기관 및 항문용약	63,834	38,744
2018	1	261	외피용살균소독제	1	3
2018	1	262	창상보호제	0	0
2018	1	263	화농성질환용제	46	146
2018	1	264	진통·진양·수렴·소염제	2,545	7,639
2018	1	265	기생성 피부질환용제	507	2,359
2018	1	266	피부연화제(부식제를 포함)	66	201
2018	1	267	모발용제(발모,탈모,염모,양모제)	0	0
2018	1	269	기타의 외피용약	892	3,359
2018	1	311	비타민 A 및 D제	6,050	2,949
2018	1	312	비타민 B₁제	5,403	235
2018	1	313	비타민 B제(비타민 B₁을 제외)	11,176	322
2018	1	314	비타민 C 및 P제	298	73
2018	1	315	비타민 E 및 K제	101	23
2018	1	316	혼합비타민제(비타민 A D 혼합제를 제외)	2,334	659
2018	1	321	칼슘제	31,313	2,422
2018	1	322	무기질제제	13,200	1,871
2018	1	323	당류제	2,362	3,008
2018	1	325	단백아미노산제제	2,844	17,309
2018	1	326	장기제제	134	115
2018	1	329	기타의 자양강장변질제	57	878
2018	1	331	혈액대용제	14,199	14,264
2018	1	332	지혈제	1,465	3,375
2018	1	333	혈액응고저지제	10,530	13,620
2018	1	339	기타의 혈액 및 체액용약	56,462	41,917
2018	1	341	인공신장관류용제	22,268	12,432
2018	1	349	기타의 인공관류용제	954	10,385
2018	1	391	간장질환용제	50,472	22,792
