년도	월	약효분류코드	약효분류명	수량	사용금액	대분류코드	중분류코드	대분류	중분류
2018	1	111	전신마취제	1039	3822	100	110	신경계 감각기관용 의약품	중추신경계용약
2018	1	112	최면진정제	20152	3029	100	110	신경계 감각기관용 의약품	중추신경계용약
2018	1	113	항전간제	63893	17668	100	110	신경계 감각기관용 의약품	중추신경계용약
2018	1	114	해열·진통·소염제	490637	70983	100	110	신경계 감각기관용 의약품	중추신경계용약
2018	1	115	각성제,흥분제	1912	1551	100	110	신경계 감각기관용 의약품	중추신경계용약
2018	1	116	진훈제	2388	84	100	110	신경계 감각기관용 의약품	중추신경계용약
2018	1	117	정신신경용제	195828	40634	100	110	신경계 감각기관용 의약품	중추신경계용약
2018	1	119	기타의 중추신경용약	119129	71845	100	110	신경계 감각기관용 의약품	중추신경계용약
2018	1	121	국소마취제	3708	2102	100	120	신경계 감각기관용 의약품	말초신경계용약
2018	1	122	골격근이완제	48173	6879	100	120	신경계 감각기관용 의약품	말초신경계용약
2018	1	123	자율신경제	19115	2662	100	120	신경계 감각기관용 의약품	말초신경계용약
2018	1	124	진경제	34128	4332	100	120	신경계 감각기관용 의약품	말초신경계용약
2018	1	129	기타의 말초신경용약	0	0	100	120	신경계 감각기관용 의약품	말초신경계용약
2018	1	131	안과용제	60747	44527	100	130	신경계 감각기관용 의약품	감각기관용약
2018	1	132	이비과용제	1144	5160	100	130	신경계 감각기관용 의약품	감각기관용약
2018	1	141	항히스타민제	252088	15217	100	140	신경계 감각기관용 의약품	알레르기용약
2018	1	142	자격요법제(비특이성면역원제제를 포함)	12501	30402	100	140	신경계 감각기관용 의약품	알레르기용약
2018	1	149	기타의 알레르기용약	46579	17739	100	140	신경계 감각기관용 의약품	알레르기용약
2018	1	211	강심제	13792	1339	200	210	개개의 기관계용 의약품	순환계용약
2018	1	212	부정맥용제	21734	2310	200	210	개개의 기관계용 의약품	순환계용약
2018	1	213	이뇨제	28989	1584	200	210	개개의 기관계용 의약품	순환계용약
2018	1	214	혈압강하제	274117	145313	200	210	개개의 기관계용 의약품	순환계용약
2018	1	215	혈관보강제	4548	907	200	210	개개의 기관계용 의약품	순환계용약
2018	1	216	혈관수축제	649	84	200	210	개개의 기관계용 의약품	순환계용약
2018	1	217	혈관확장제	60569	10997	200	210	개개의 기관계용 의약품	순환계용약
2018	1	218	동맥경화용제	213174	146158	200	210	개개의 기관계용 의약품	순환계용약
2018	1	219	기타의 순환계용약	180086	53013	200	210	개개의 기관계용 의약품	순환계용약
2018	1	220	호흡기관용약	68	2327	200	220	개개의 기관계용 의약품	호흡기관용약
2018	1	221	호흡촉진제	117	317	200	220	개개의 기관계용 의약품	호흡기관용약
2018	1	222	진해거담제	623050	52839	200	220	개개의 기관계용 의약품	호흡기관용약
2018	1	223	함소흡입제	665982	5216	200	220	개개의 기관계용 의약품	호흡기관용약
2018	1	229	기타의 호흡기관용약	63106	10232	200	220	개개의 기관계용 의약품	호흡기관용약
2018	1	231	치과구강용약	972	977	200	230	개개의 기관계용 의약품	소화기관용약
2018	1	232	소화성궤양용제	387960	97692	200	230	개개의 기관계용 의약품	소화기관용약
2018	1	233	건위소화제	102	2	200	230	개개의 기관계용 의약품	소화기관용약
2018	1	234	제산제	96284	3909	200	230	개개의 기관계용 의약품	소화기관용약
2018	1	235	최토제,진토제	10658	6081	200	230	개개의 기관계용 의약품	소화기관용약
2018	1	236	이담제	13583	2755	200	230	개개의 기관계용 의약품	소화기관용약
2018	1	237	정장제	36122	3748	200	230	개개의 기관계용 의약품	소화기관용약
2018	1	238	하제,완장제	2533	477	200	230	개개의 기관계용 의약품	소화기관용약
2018	1	239	기타의 소화기관용약	236886	26594	200	230	개개의 기관계용 의약품	소화기관용약
2018	1	241	뇌하수체호르몬제	2458	5769	200	240	개개의 기관계용 의약품	호르몬제(항호르몬제를 포함)
2018	1	243	갑상선,부갑상선호르몬제	37054	2824	200	240	개개의 기관계용 의약품	호르몬제(항호르몬제를 포함)
2018	1	244	단백동화스테로이드제	3	1	200	240	개개의 기관계용 의약품	호르몬제(항호르몬제를 포함)
2018	1	245	부신호르몬제	51699	5188	200	240	개개의 기관계용 의약품	호르몬제(항호르몬제를 포함)
2018	1	246	남성호르몬제	199	92	200	240	개개의 기관계용 의약품	호르몬제(항호르몬제를 포함)
2018	1	247	난포호르몬 및 황체호르몬제	9287	4606	200	240	개개의 기관계용 의약품	호르몬제(항호르몬제를 포함)
2018	1	249	기타의 호르몬제(항호르몬제를 포함)	735	14978	200	240	개개의 기관계용 의약품	호르몬제(항호르몬제를 포함)
2018	1	252	자궁수축제	236	106	200	250	개개의 기관계용 의약품	비뇨생식기관 및 항문용약
2018	1	255	비뇨생식기관용제(성병예방제 포함)	4043	1428	200	250	개개의 기관계용 의약품	비뇨생식기관 및 항문용약
2018	1	256	치질용제	39	108	200	250	개개의 기관계용 의약품	비뇨생식기관 및 항문용약
2018	1	259	기타의 비뇨생식기관 및 항문용약	63834	38744	200	250	개개의 기관계용 의약품	비뇨생식기관 및 항문용약
2018	1	261	외피용살균소독제	1	3	200	260	개개의 기관계용 의약품	외피용약
2018	1	262	창상보호제	0	0	200	260	개개의 기관계용 의약품	외피용약
2018	1	263	화농성질환용제	46	146	200	260	개개의 기관계용 의약품	외피용약
2018	1	264	진통·진양·수렴·소염제	2545	7639	200	260	개개의 기관계용 의약품	외피용약
2018	1	265	기생성 피부질환용제	507	2359	200	260	개개의 기관계용 의약품	외피용약
2018	1	266	피부연화제(부식제를 포함)	66	201	200	260	개개의 기관계용 의약품	외피용약
2018	1	267	모발용제(발모,탈모,염모,양모제)	0	0	200	260	개개의 기관계용 의약품	외피용약
2018	1	269	기타의 외피용약	892	3359	200	260	개개의 기관계용 의약품	외피용약
2018	1	311	비타민 A 및 D제	6050	2949	300	310	대사성 의약품	비타민제
2018	1	312	비타민 B₁제	5403	235	300	310	대사성 의약품	비타민제
2018	1	313	비타민 B제(비타민 B₁을 제외)	11176	322	300	310	대사성 의약품	비타민제
2018	1	314	비타민 C 및 P제	298	73	300	310	대사성 의약품	비타민제
2018	1	315	비타민 E 및 K제	101	23	300	310	대사성 의약품	비타민제
2018	1	316	혼합비타민제(비타민 A D 혼합제를 제외)	2334	659	300	310	대사성 의약품	비타민제
2018	1	321	칼슘제	31313	2422	300	320	대사성 의약품	자양강장변질제
